CodEntrega,CodVenta,CodProveedor,Proveedor,CodAlmacen,Almacen,CodEstado,Estado,Fecha_Envio,Fecha_Entrega
1,1,1,FastDelivery,2,Centro Sur,1,En preparación,2024-03-30,2024-06-03
2,2,1,FastDelivery,3,Centro Oeste,2,En tránsito,2024-11-18,2024-11-18
3,3,4,QuickSend,2,Centro Sur,1,En preparación,2024-07-04,2024-07-18
4,4,5,ShipPro,2,Centro Sur,1,En preparación,2024-09-19,2024-09-27
5,5,1,FastDelivery,1,Centro Norte,2,En tránsito,2024-06-17,2024-09-26
6,6,1,FastDelivery,2,Centro Sur,2,En tránsito,2024-06-02,2024-07-31
7,7,5,ShipPro,2,Centro Sur,1,En preparación,2024-07-01,2024-11-11
8,8,5,ShipPro,1,Centro Norte,2,En tránsito,2024-05-27,2024-10-03
9,9,1,FastDelivery,3,Centro Oeste,2,En tránsito,2024-07-02,2024-07-25
10,10,3,GlobalCourier,2,Centro Sur,4,Devuelto,2024-03-26,2024-10-19
11,11,3,GlobalCourier,5,Centro Central,4,Devuelto,2024-11-12,2024-11-14
12,12,5,ShipPro,5,Centro Central,4,Devuelto,2024-08-12,2024-09-15
13,13,1,FastDelivery,3,Centro Oeste,4,Devuelto,2024-05-12,2024-08-15
14,14,1,FastDelivery,2,Centro Sur,2,En tránsito,2024-03-24,2024-07-14
15,15,4,QuickSend,2,Centro Sur,4,Devuelto,2024-03-13,2024-10-08
16,16,1,FastDelivery,2,Centro Sur,4,Devuelto,2024-05-04,2024-09-06
17,17,1,FastDelivery,1,Centro Norte,1,En preparación,2024-08-06,2024-10-23
18,18,5,ShipPro,3,Centro Oeste,3,Entregado,2024-09-03,2024-09-13
19,19,1,FastDelivery,1,Centro Norte,1,En preparación,2024-01-09,2024-03-12
20,20,3,GlobalCourier,4,Centro Este,1,En preparación,2024-11-09,2024-11-10
21,21,2,ExpressShip,3,Centro Oeste,1,En preparación,2024-10-05,2024-11-08
22,22,1,FastDelivery,5,Centro Central,3,Entregado,2024-01-08,2024-10-31
23,23,4,QuickSend,3,Centro Oeste,3,Entregado,2024-10-01,2024-10-14
24,24,4,QuickSend,4,Centro Este,3,Entregado,2024-10-02,2024-10-31
25,25,5,ShipPro,3,Centro Oeste,1,En preparación,2024-02-21,2024-04-05
26,26,5,ShipPro,4,Centro Este,3,Entregado,2024-06-24,2024-09-06
27,27,4,QuickSend,3,Centro Oeste,4,Devuelto,2024-08-13,2024-09-29
28,28,2,ExpressShip,1,Centro Norte,2,En tránsito,2024-11-08,2024-11-17
29,29,5,ShipPro,1,Centro Norte,3,Entregado,2024-03-26,2024-06-28
30,30,2,ExpressShip,3,Centro Oeste,1,En preparación,2024-10-15,2024-11-12
31,31,4,QuickSend,1,Centro Norte,4,Devuelto,2024-08-12,2024-09-23
32,32,5,ShipPro,4,Centro Este,4,Devuelto,2024-05-13,2024-10-09
33,33,5,ShipPro,2,Centro Sur,1,En preparación,2024-02-18,2024-11-03
34,34,3,GlobalCourier,1,Centro Norte,1,En preparación,2024-04-15,2024-11-11
35,35,3,GlobalCourier,3,Centro Oeste,2,En tránsito,2024-03-24,2024-07-09
36,36,4,QuickSend,1,Centro Norte,2,En tránsito,2024-10-02,2024-11-01
37,37,5,ShipPro,5,Centro Central,1,En preparación,2024-09-28,2024-10-07
38,38,5,ShipPro,2,Centro Sur,4,Devuelto,2024-11-10,2024-11-10
39,39,1,FastDelivery,5,Centro Central,2,En tránsito,2024-01-19,2024-01-25
40,40,3,GlobalCourier,5,Centro Central,4,Devuelto,2024-01-26,2024-08-11
41,41,1,FastDelivery,5,Centro Central,2,En tránsito,2024-02-22,2024-09-28
42,42,5,ShipPro,5,Centro Central,3,Entregado,2024-03-18,2024-04-11
43,43,1,FastDelivery,5,Centro Central,3,Entregado,2024-05-12,2024-10-12
44,44,5,ShipPro,3,Centro Oeste,2,En tránsito,2024-06-23,2024-08-12
45,45,1,FastDelivery,3,Centro Oeste,4,Devuelto,2024-10-19,2024-10-19
46,46,4,QuickSend,1,Centro Norte,2,En tránsito,2024-09-22,2024-11-14
47,47,3,GlobalCourier,4,Centro Este,3,Entregado,2024-01-22,2024-03-24
48,48,3,GlobalCourier,4,Centro Este,4,Devuelto,2024-08-19,2024-09-22
49,49,5,ShipPro,2,Centro Sur,2,En tránsito,2024-04-17,2024-10-13
50,50,2,ExpressShip,2,Centro Sur,4,Devuelto,2024-07-30,2024-08-06
51,51,4,QuickSend,2,Centro Sur,4,Devuelto,2024-06-10,2024-07-17
52,52,4,QuickSend,2,Centro Sur,1,En preparación,2024-04-23,2024-09-05
53,53,5,ShipPro,1,Centro Norte,3,Entregado,2024-11-13,2024-11-17
54,54,4,QuickSend,3,Centro Oeste,1,En preparación,2024-07-20,2024-08-12
55,55,2,ExpressShip,2,Centro Sur,2,En tránsito,2024-05-04,2024-10-30
56,56,3,GlobalCourier,5,Centro Central,4,Devuelto,2024-07-19,2024-07-25
57,57,1,FastDelivery,5,Centro Central,4,Devuelto,2024-06-22,2024-06-28
58,58,3,GlobalCourier,1,Centro Norte,1,En preparación,2024-04-04,2024-10-01
59,59,1,FastDelivery,4,Centro Este,3,Entregado,2024-08-26,2024-09-24
60,60,1,FastDelivery,5,Centro Central,4,Devuelto,2024-02-23,2024-03-22
61,61,3,GlobalCourier,2,Centro Sur,1,En preparación,2024-09-01,2024-11-11
62,62,1,FastDelivery,2,Centro Sur,3,Entregado,2024-02-26,2024-06-10
63,63,5,ShipPro,1,Centro Norte,1,En preparación,2024-09-24,2024-10-01
64,64,4,QuickSend,5,Centro Central,3,Entregado,2024-09-30,2024-10-05
65,65,5,ShipPro,2,Centro Sur,1,En preparación,2024-08-27,2024-11-17
66,66,4,QuickSend,2,Centro Sur,1,En preparación,2024-08-03,2024-10-10
67,67,4,QuickSend,2,Centro Sur,1,En preparación,2024-05-08,2024-10-16
68,68,4,QuickSend,2,Centro Sur,4,Devuelto,2024-10-03,2024-10-22
69,69,4,QuickSend,1,Centro Norte,3,Entregado,2024-08-19,2024-10-27
70,70,2,ExpressShip,3,Centro Oeste,1,En preparación,2024-03-05,2024-08-14
71,71,1,FastDelivery,5,Centro Central,3,Entregado,2024-03-16,2024-06-16
72,72,1,FastDelivery,3,Centro Oeste,3,Entregado,2024-08-14,2024-09-09
73,73,2,ExpressShip,5,Centro Central,3,Entregado,2024-07-04,2024-11-10
74,74,4,QuickSend,2,Centro Sur,3,Entregado,2024-05-01,2024-11-15
75,75,2,ExpressShip,5,Centro Central,2,En tránsito,2024-08-26,2024-09-24
76,76,1,FastDelivery,5,Centro Central,3,Entregado,2024-05-07,2024-10-28
77,77,4,QuickSend,1,Centro Norte,3,Entregado,2024-11-18,2024-11-18
