FechaVenta,CodigoProducto,Producto,Cantidad,PrecioVenta,CodigoCliente,Cliente,CodigoTienda,Tienda
2024-08-06,10.0,Smartwatch,10.0,67.79,1.0,ACME Corp,8.0,ElectroShop Este
2023-11-14,15.0,"Televisor LED 65""",3.0,1322.45,11.0,Biohazard Inc,13.0,ElectroShop Norte
2024-03-09,21.0,Home Theater 7.1,5.0,1133.19,4.0,Umbrella Corp,12.0,Outlet Sur
2022-07-18,2.0,Lavadora 8kg,1.0,1320.62,2.0,Globex Corporation,10.0,ElectroShop California
2023-10-03,11.0,phone,3.0,1157.32,4.0,Umbrella Corp,14.0,NULL
2023-06-18,9.0,"Tablet 10""",8.0,224.36,2.0,Globex Corporation,5.0,Tienda Premium
2022-10-27,16.0,Refrigerador Triple Puerta,10.0,347.39,3.0,Initech,17.0,Tienda Virtual Sur
2024-01-08,NULL,NULL,NULL,NULL,3.0,Initech,2.0,Tienda Central
2023-12-28,12.0,"Televisor LED 55""",10.0,538.03,4.0,Umbrella Corp,14.0,NULL
2022-07-26,30.0,Parlante Bluetooth,7.0,612.66,3.0,Initech,19.0,Tienda Plus
2023-03-17,30.0,Parlante Bluetooth,10.0,759.0,13.0,Tyrell Corp,2.0,Tienda Central
2023-10-05,22.0,"Laptop Gamer 15""",4.0,624.38,13.0,Tyrell Corp,1.0,ElectroShop Online
2024-07-21,14.0,Refrigerador Simple Puerta,4.0,532.78,6.0,Stark Industries,13.0,ElectroShop Norte
2022-04-17,19.0,Batidora de Mano,8.0,191.44,12.0,Cyberdyne Systems,5.0,Tienda Premium
2023-04-24,20.0,Lavadora Secadora,5.0,337.71,3.0,Initech,1.0,ElectroShop Online
2023-12-31,1.0,"Televisor LED 55""",3.0,667.84,5.0,Weyland-Yutani,5.0,Tienda Premium
2023-03-28,30.0,Parlante Bluetooth,8.0,424.87,7.0,Wayne Enterprises,1.0,ElectroShop Online
2022-12-11,16.0,Refrigerador Triple Puerta,2.0,648.66,11.0,Biohazard Inc,7.0,Tienda Express
2023-03-04,14.0,Refrigerador Simple Puerta,1.0,1469.92,9.0,Pied Piper,NULL,NULL
2024-02-04,NULL,NULL,NULL,NULL,7.0,Wayne Enterprises,2.0,Tienda Central
2024-05-11,18.0,Aspiradora Robot,4.0,329.86,10.0,Hooli,13.0,ElectroShop Norte
2023-02-26,24.0,Smartwatch Deportivo,1.0,379.19,3.0,Initech,5.0,Tienda Premium
2022-10-17,24.0,Smartwatch Deportivo,6.0,1422.52,15.0,LexCorp,2.0,Tienda Central
2024-05-11,16.0,Refrigerador Triple Puerta,9.0,1058.37,2.0,Globex Corporation,2.0,Tienda Central
2022-01-31,NULL,NULL,NULL,NULL,11.0,Biohazard Inc,NULL,NULL
2024-05-11,14.0,Refrigerador Simple Puerta,3.0,818.61,4.0,Umbrella Corp,5.0,Tienda Premium
2024-04-27,17.0,Microondas 25L,8.0,1041.14,5.0,Weyland-Yutani,11.0,Tienda Norte
2022-07-31,27.0,Lavadora Carga Superior,2.0,1465.18,9.0,Pied Piper,6.0,ElectroShop Oeste
2022-05-07,16.0,Refrigerador Triple Puerta,6.0,899.09,8.0,Dunder Mifflin,5.0,Tienda Premium
2022-09-15,24.0,Smartwatch Deportivo,6.0,360.39,13.0,Tyrell Corp,2.0,Tienda Central
2023-03-25,26.0,"Televisor OLED 55""",8.0,908.7,9.0,Pied Piper,3.0,Outlet Norte
2022-05-24,3.0,Refrigerador Doble Puerta,4.0,967.35,1.0,ACME Corp,10.0,ElectroShop California
2023-05-22,21.0,Home Theater 7.1,6.0,503.26,12.0,Cyberdyne Systems,12.0,Outlet Sur
2023-05-03,15.0,"Televisor LED 65""",10.0,1142.44,6.0,Stark Industries,10.0,ElectroShop California
2024-04-16,30.0,Parlante Bluetooth,9.0,1226.99,3.0,Initech,14.0,NULL
2024-02-29,30.0,Parlante Bluetooth,1.0,526.09,12.0,Cyberdyne Systems,19.0,Tienda Plus
2022-01-26,16.0,Refrigerador Triple Puerta,10.0,277.95,12.0,Cyberdyne Systems,15.0,ElectroShop Express
2023-03-14,15.0,"Televisor LED 65""",1.0,133.39,13.0,Tyrell Corp,6.0,ElectroShop Oeste
2023-01-28,25.0,Teléfono Inteligente 256GB,5.0,766.14,4.0,Umbrella Corp,15.0,ElectroShop Express
2023-06-03,23.0,"Tablet - 12""",7.0,1454.95,1.0,ACME Corp,17.0,Tienda Virtual Sur
2022-06-25,10.0,Smartwatch,7.0,935.7,13.0,Tyrell Corp,6.0,ElectroShop Oeste
2022-02-03,4.0,Microondas 20L,5.0,1371.94,7.0,Wayne Enterprises,19.0,Tienda Plus
2023-09-08,29.0,Refrigerador Compacto,2.0,488.01,11.0,Biohazard Inc,10.0,ElectroShop California
